dataset,instance,n,m,constructive,local_search,best_method_of,best_global_of,relative_dev,is_best,avg_time_per_iter,avg_of,std_of,iters,alpha_teua,beta
Geo,Geo 100 18.txt,100,30,CGR,BLS,109.42374939085835,109.86908651486671,0.004053343284583524,0,0.0021120819973293693,106.14672509332377,1.1652892447306578,100,0.1,
Geo,Geo 100 18.txt,100,30,CGR,FLS,109.42374939085835,109.86908651486671,0.004053343284583524,0,0.021906298000831156,107.71887002227876,1.0520345852504165,100,0.1,
Geo,Geo 100 18.txt,100,30,CGR2,BLS,108.55374754075628,109.86908651486671,0.011971875036318334,0,0.0013407649961300193,106.01591298580699,1.0676345436161252,100,,0.9
Geo,Geo 100 18.txt,100,30,CGR2,FLS,109.86908651486671,109.86908651486671,0.0,1,0.017508158999844453,107.59208624091683,0.9765748394139212,100,,0.9
Geo,Geo 100 19.txt,100,30,CGR,BLS,150.04738183164233,152.20673086120834,0.014186948352074168,0,0.0022717299987562002,147.47344631073315,1.2830291251377277,100,0.1,
Geo,Geo 100 19.txt,100,30,CGR,FLS,152.20673086120834,152.20673086120834,0.0,1,0.020482631996273995,149.46353932203422,0.9787755805308629,100,0.1,
Geo,Geo 100 19.txt,100,30,CGR2,BLS,150.28467199914354,152.20673086120834,0.012627949179313598,0,0.0014788440015399828,147.28821889588636,1.1771701882509753,100,,0.9
Geo,Geo 100 19.txt,100,30,CGR2,FLS,152.20673086120834,152.20673086120834,0.0,1,0.017400633004144767,149.29857278293002,1.0585804425401524,100,,0.9
Geo,Geo 100 20.txt,100,30,CGR,BLS,139.93524278956372,139.9948122818552,0.0004255121409180529,0,0.0017294099979335443,136.58205345957575,1.389135556274997,100,0.1,
Geo,Geo 100 20.txt,100,30,CGR,FLS,139.9948122818552,139.9948122818552,0.0,1,0.020683391994098202,139.1663965405263,0.985232012243995,100,0.1,
Geo,Geo 100 20.txt,100,30,CGR2,BLS,139.93524278956372,139.9948122818552,0.0004255121409180529,0,0.0014224340009968727,136.9211015512717,1.5335070387052723,100,,0.9
Geo,Geo 100 20.txt,100,30,CGR2,FLS,139.9948122818552,139.9948122818552,0.0,1,0.020163367999484764,139.30983545404575,0.8293438262207729,100,,0.9
Geo,Geo 250 1.txt,250,25,CGR,BLS,168.4879869428642,171.01069431541816,0.014751752120840947,0,0.00505205900175497,163.87579792407973,2.097597556023232,100,0.1,
Geo,Geo 250 1.txt,250,25,CGR,FLS,171.01069431541816,171.01069431541816,0.0,1,0.061956171000492756,167.7273203950923,1.5794939395336893,100,0.1,
Geo,Geo 250 1.txt,250,25,CGR2,BLS,167.75986696210578,171.01069431541816,0.019009497425444326,0,0.0028297839965671302,164.22590337236176,1.8056428648158254,100,,0.9
Geo,Geo 250 1.txt,250,25,CGR2,FLS,171.01069431541816,171.01069431541816,0.0,1,0.057527634000289256,167.71548790478485,1.4915172288844851,100,,0.9
Geo,Geo 250 2.txt,250,25,CGR,BLS,18.918460457371683,19.6953784905978,0.039446717594028624,0,0.004648944998043589,16.92269911323694,0.6724724264226798,100,0.1,
Geo,Geo 250 2.txt,250,25,CGR,FLS,19.6953784905978,19.6953784905978,0.0,1,0.07475682400166989,18.765518421446426,0.6569340346647913,100,0.1,
Geo,Geo 250 2.txt,250,25,CGR2,BLS,18.804683657472047,19.6953784905978,0.0452235448814022,0,0.003253131997771561,17.178329925070027,0.6831918403500467,100,,0.9
Geo,Geo 250 2.txt,250,25,CGR2,FLS,19.573653031054178,19.6953784905978,0.0061804072260775176,0,0.08864556499873288,18.555534920237054,0.755922095355293,100,,0.9
Geo,Geo 250 3.txt,250,25,CGR,BLS,134.5161500909902,137.7540400547108,0.02350486390406133,0,0.011651064995094202,130.63724909418343,1.7950002483855072,100,0.1,
Geo,Geo 250 3.txt,250,25,CGR,FLS,137.7540400547108,137.7540400547108,0.0,1,0.07181364099727944,134.7528170726522,1.6841431288154614,100,0.1,
Geo,Geo 250 3.txt,250,25,CGR2,BLS,134.09334342118896,137.7540400547108,0.02657415079853879,0,0.003138584996922873,130.49979976991094,1.723302843704685,100,,0.9
Geo,Geo 250 3.txt,250,25,CGR2,FLS,137.7540400547108,137.7540400547108,0.0,1,0.08232333899883088,134.26096351795462,2.1427269082721243,100,,0.9
Geo,Geo 250 4.txt,250,25,CGR,BLS,170.01052091324325,171.96108204565516,0.011343038257307765,0,0.005518208998255432,164.74651221801,1.854079458591848,100,0.1,
Geo,Geo 250 4.txt,250,25,CGR,FLS,171.96108204565516,171.96108204565516,0.0,1,0.08313015999970957,168.75505081541917,1.7877616217652545,100,0.1,
Geo,Geo 250 4.txt,250,25,CGR2,BLS,168.62552755666798,171.96108204565516,0.019397147594719166,0,0.011451635004486888,164.49818232348107,2.112146077693161,100,,0.9
Geo,Geo 250 4.txt,250,25,CGR2,FLS,171.96108204565516,171.96108204565516,0.0,1,0.13830992400413378,168.9003589106343,1.6210301693390228,100,,0.9
Geo,Geo 250 5.txt,250,25,CGR,BLS,145.75309660164416,148.63019950527033,0.01935745839811072,0,0.010529250998515635,142.68869000541815,2.032807937910402,100,0.1,
Geo,Geo 250 5.txt,250,25,CGR,FLS,148.63019950527033,148.63019950527033,0.0,1,0.13929272600042167,146.57810478273817,1.3027175669521682,100,0.1,
Geo,Geo 250 5.txt,250,25,CGR2,BLS,147.05492602105488,148.63019950527033,0.010598609767455676,0,0.005705936998128891,142.74481642454245,1.8530260974442019,100,,0.9
