instance,algo,param_name,param_value,run_id,seed,objective
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,16,12360,81.8020239965768
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,17,12361,70.75483476373145
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,18,12362,73.43111220122073
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,19,12363,83.94433097060266
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,20,12364,77.05695611804968
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,1,12345,77.2586020283657
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,2,12346,81.43353561572248
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,3,12347,75.77696507774924
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,4,12348,73.43111220122073
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,5,12349,75.77696507774924
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,6,12350,75.91039870641882
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,7,12351,74.0089711518604
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,8,12352,77.20929725893522
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,9,12353,70.7664407323433
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,10,12354,83.94433097060266
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,11,12355,75.9694443918736
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,12,12356,77.17047317116962
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,13,12357,78.4230126991325
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,14,12358,80.7418887066478
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,15,12359,76.11138143742785
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,16,12360,77.08629447636369
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,17,12361,74.4604469647038
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,18,12362,79.55347724631612
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,19,12363,78.45836201901372
instances\Geo\Geo 100 1.txt,GRC2,beta,0.4,20,12364,77.40407092100621
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,1,12345,80.92125314815507
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,2,12346,75.83104163397994
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,3,12347,76.70174159541524
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,4,12348,76.52794205938135
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,5,12349,83.83253611027844
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,6,12350,75.91039870641882
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,7,12351,79.89010977432218
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,8,12352,80.14286766495893
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,9,12353,84.89534632811234
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,10,12354,75.60316935633391
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,11,12355,85.8101823360459
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,12,12356,80.8937045877627
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,13,12357,77.12194655093595
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,14,12358,80.52446951151344
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,15,12359,80.3057097009403
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,16,12360,79.39064392595732
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,17,12361,81.48836902359484
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,18,12362,78.31962929193786
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,19,12363,80.92125314815507
instances\Geo\Geo 100 1.txt,GRC2,beta,0.5,20,12364,74.04699887091671
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,1,12345,79.39064392595732
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,2,12346,77.2586020283657
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,3,12347,75.81548690053543
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,4,12348,74.09943835267003
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,5,12349,73.11016898630432
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,6,12350,75.91039870641882
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,7,12351,79.89010977432218
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,8,12352,77.20929725893522
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,9,12353,77.2586020283657
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,10,12354,75.60316935633391
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,11,12355,83.03244348688006
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,12,12356,77.17047317116962
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,13,12357,75.54181249550486
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,14,12358,77.68620840702651
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,15,12359,81.8020239965768
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,16,12360,80.4174029951438
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,17,12361,80.64645795546996
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,18,12362,75.77696507774924
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,19,12363,76.59486436341902
instances\Geo\Geo 100 1.txt,GRC2,beta,0.6,20,12364,77.40407092100621
instances\Geo\Geo 100 1.txt,GRC2,beta,0.7,1,12345,82.05269389756843
instances\Geo\Geo 100 1.txt,GRC2,beta,0.7,2,12346,77.2586020283657
instances\Geo\Geo 100 1.txt,GRC2,beta,0.7,3,12347,75.81548690053543
