dataset,instance,n,m,frac,method,best_method_of,best_global_of,relative_dev,is_best,reps,time_limit_s,alpha,avg_best_of,std_best_of,avg_time_per_rep_s,es_size,time_doing_grasp
Geo,Geo 100 20.txt,100,30,0.3,GRASP_PR,140.6048997299596,140.6048997299596,0.0,1,3,15.0,0.1,140.6048997299596,0.0,15.001885414123535,10,0.6
Geo,Geo 250 1.txt,250,25,0.1,GRASP,171.01069431541816,171.01069431541816,0.0,1,3,15.0,0.1,171.01069431541816,0.0,15.041811148325602,,
Geo,Geo 250 1.txt,250,25,0.1,GRASP_PR,171.01069431541816,171.01069431541816,0.0,1,3,15.0,0.1,171.01069431541816,0.0,15.005953311920166,10,0.6
Geo,Geo 250 2.txt,250,25,0.1,GRASP,19.6953784905978,19.74700786829741,0.0026145418102808565,0,3,15.0,0.1,19.6953784905978,0.0,15.03844420115153,,
Geo,Geo 250 2.txt,250,25,0.1,GRASP_PR,19.74700786829741,19.74700786829741,0.0,1,3,15.0,0.1,19.729798075730873,0.024338322053223182,15.00629711151123,10,0.6
Geo,Geo 250 3.txt,250,25,0.1,GRASP,137.7540400547108,137.7540400547108,0.0,1,3,15.0,0.1,137.7540400547108,0.0,15.010993639628092,,
Geo,Geo 250 3.txt,250,25,0.1,GRASP_PR,137.7540400547108,137.7540400547108,0.0,1,3,15.0,0.1,137.7540400547108,0.0,15.006673892339071,10,0.6
Geo,Geo 250 4.txt,250,25,0.1,GRASP,171.96108204565516,171.96108204565516,0.0,1,3,15.0,0.1,171.70959149944744,0.35566134125558785,15.020690679550171,,
Geo,Geo 250 4.txt,250,25,0.1,GRASP_PR,171.96108204565516,171.96108204565516,0.0,1,3,15.0,0.1,171.45810095323972,0.35566134125558785,15.004300832748413,10,0.6
Geo,Geo 250 5.txt,250,25,0.1,GRASP,148.63019950527033,148.75960721475525,0.0008699116104689949,0,3,15.0,0.1,148.63019950527033,0.0,15.045181115468344,,
Geo,Geo 250 5.txt,250,25,0.1,GRASP_PR,148.75960721475525,148.75960721475525,0.0,1,3,15.0,0.1,148.7164713115936,0.061003379276405104,15.003278017044067,10,0.6
Geo,Geo 250 6.txt,250,25,0.1,GRASP,100.37664896658895,100.37664896658895,0.0,1,3,15.0,0.1,100.1857215190844,0.270012185690204,15.007791837056478,,
Geo,Geo 250 6.txt,250,25,0.1,GRASP_PR,100.37664896658895,100.37664896658895,0.0,1,3,15.0,0.1,99.99479407157986,0.270012185690204,15.000298102696737,10,0.6
