dataset,instance,n,m,alpha,best_of,avg_of,std_of,iters,fls_max_iter
Geo,Geo 100 10.txt,100,30,0.5,131.60364685538087,130.66927245025627,0.7428136324393513,100,200
Geo,Geo 100 10.txt,100,30,0.6,131.60364685538087,130.65973538872112,0.8099968951681422,100,200
Geo,Geo 100 10.txt,100,30,0.7,131.60364685538087,130.71049685781443,0.8172504375692005,100,200
Geo,Geo 100 10.txt,100,30,0.8,131.60364685538087,130.79304775996343,0.7472394064506994,100,200
Geo,Geo 100 10.txt,100,30,0.9,131.60364685538087,130.70319577390208,0.8163849608110112,100,200
Geo,Geo 100 11.txt,100,30,0.1,102.19418556229365,99.25463895436914,1.726972820256848,100,200
Geo,Geo 100 11.txt,100,30,0.2,102.19418556229365,98.87224634854967,1.4739748653411455,100,200
Geo,Geo 100 11.txt,100,30,0.3,102.19418556229365,99.26627657654508,1.7205018707955955,100,200
Geo,Geo 100 11.txt,100,30,0.4,102.19418556229365,99.24915429381977,1.7025370502702908,100,200
Geo,Geo 100 11.txt,100,30,0.5,102.19418556229365,99.32813795062877,2.0432162480179525,100,200
Geo,Geo 100 11.txt,100,30,0.6,102.19418556229365,99.24101278059308,1.6841929414056016,100,200
Geo,Geo 100 11.txt,100,30,0.7,102.19418556229365,99.22573753485916,1.7227946479071952,100,200
Geo,Geo 100 11.txt,100,30,0.8,102.19418556229365,99.27801514672059,1.807804386004003,100,200
Geo,Geo 100 11.txt,100,30,0.9,102.19418556229365,99.15610501461943,1.6102948738311507,100,200
Geo,Geo 100 12.txt,100,30,0.1,116.5258953106522,114.7519796812375,1.108091545637343,100,200
Geo,Geo 100 12.txt,100,30,0.2,116.5258953106522,114.76738499187628,1.0736074411462697,100,200
Geo,Geo 100 12.txt,100,30,0.3,116.5258953106522,114.96429691835539,1.1037513742144718,100,200
Geo,Geo 100 12.txt,100,30,0.4,116.5258953106522,114.70949382840112,1.0506027931010453,100,200
Geo,Geo 100 12.txt,100,30,0.5,116.5258953106522,114.7328011918382,1.002642482104611,100,200
Geo,Geo 100 12.txt,100,30,0.6,116.5258953106522,114.88755432683796,1.118137555250936,100,200
Geo,Geo 100 12.txt,100,30,0.7,117.47992279564289,114.91466477512625,1.1933044950928042,100,200
Geo,Geo 100 12.txt,100,30,0.8,117.47992279564289,114.7983234074228,1.0770676033787039,100,200
Geo,Geo 100 12.txt,100,30,0.9,117.47992279564289,114.84600292980201,1.1503940970714044,100,200
Geo,Geo 100 13.txt,100,30,0.1,29.83045137845435,27.93346596385858,0.9056289480326708,100,200
Geo,Geo 100 13.txt,100,30,0.2,29.83045137845435,27.999148896106995,0.783683333090539,100,200
Geo,Geo 100 13.txt,100,30,0.3,29.83045137845435,27.826795159545096,0.7374848997687146,100,200
Geo,Geo 100 13.txt,100,30,0.4,29.83045137845435,28.075563886629233,0.7204805318948704,100,200
Geo,Geo 100 13.txt,100,30,0.5,29.83045137845435,28.145297264560977,0.7751116381469556,100,200
Geo,Geo 100 13.txt,100,30,0.6,29.83045137845435,27.88337529930007,0.737574522663609,100,200
Geo,Geo 100 13.txt,100,30,0.7,29.83045137845435,28.087057563469912,0.7663991083143356,100,200
Geo,Geo 100 13.txt,100,30,0.8,29.69378617724735,28.120360613615006,0.786691090438574,100,200
Geo,Geo 100 13.txt,100,30,0.9,29.69378617724735,28.080099741768603,0.7634898011519871,100,200
Geo,Geo 100 14.txt,100,30,0.1,54.08348170590176,53.46861654311319,0.5684980828912232,100,200
Geo,Geo 100 14.txt,100,30,0.2,54.08348170590176,53.205337963410074,0.7241428057086026,100,200
Geo,Geo 100 14.txt,100,30,0.3,54.08348170590176,53.138321094059194,0.8316344079110242,100,200
Geo,Geo 100 14.txt,100,30,0.4,54.08348170590176,53.24934774827703,0.7533064083441253,100,200
Geo,Geo 100 14.txt,100,30,0.5,54.08348170590176,53.140874817918856,1.0114804466060274,100,200
Geo,Geo 100 14.txt,100,30,0.6,54.08348170590176,53.16959370447935,0.8183314477405724,100,200
Geo,Geo 100 14.txt,100,30,0.7,54.08348170590176,53.30694854922033,0.7937906050785308,100,200
Geo,Geo 100 14.txt,100,30,0.8,54.08348170590176,53.159851847507696,0.888176757452858,100,200
Geo,Geo 100 14.txt,100,30,0.9,54.08348170590176,53.35829152648649,0.6596193200065182,100,200
Geo,Geo 100 15.txt,100,30,0.1,144.47778671245527,143.4953199283589,1.17754565867562,100,200
Geo,Geo 100 15.txt,100,30,0.2,144.47778671245527,143.5561601067581,1.2292034967793912,100,200
Geo,Geo 100 15.txt,100,30,0.3,144.47778671245527,143.55275227339754,1.1342707180772371,100,200
Geo,Geo 100 15.txt,100,30,0.4,144.47778671245527,143.6178875075843,1.1701490504089664,100,200
Geo,Geo 100 15.txt,100,30,0.5,144.47778671245527,143.63797285494263,1.1791344610968069,100,200
Geo,Geo 100 15.txt,100,30,0.6,144.47778671245527,143.8266715123309,1.0030521146077425,100,200
Geo,Geo 100 15.txt,100,30,0.7,144.47778671245527,143.574522251582,1.2018313766092303,100,200
Geo,Geo 100 15.txt,100,30,0.8,144.47778671245527,143.66911123800497,0.9959359642611091,100,200
Geo,Geo 100 15.txt,100,30,0.9,144.47778671245527,143.5376512653925,1.20639785210147,100,200
Geo,Geo 100 16.txt,100,30,0.1,122.37612756776825,121.35464779704984,0.7693701010851924,100,200
Geo,Geo 100 16.txt,100,30,0.2,122.37612756776825,121.4948560456622,0.5836468271939916,100,200
Geo,Geo 100 16.txt,100,30,0.3,122.37612756776825,121.50528849661694,0.6310762164887841,100,200
Geo,Geo 100 16.txt,100,30,0.4,122.37612756776825,121.5240393455639,0.5477850171876717,100,200
Geo,Geo 100 16.txt,100,30,0.5,122.37612756776825,121.49087779406653,0.6661078369630375,100,200
Geo,Geo 100 16.txt,100,30,0.6,122.37612756776825,121.43715721358024,0.6193846502097758,100,200
Geo,Geo 100 16.txt,100,30,0.7,122.37612756776825,121.54559738926913,0.5221072845422572,100,200
Geo,Geo 100 16.txt,100,30,0.8,122.37612756776825,121.5729656541093,0.5544611830187558,100,200
Geo,Geo 100 16.txt,100,30,0.9,122.37612756776825,121.51598492468888,0.5193326902562455,100,200
Geo,Geo 100 17.txt,100,30,0.1,130.34825145332064,128.71382639528866,1.700102027686967,100,200
Geo,Geo 100 17.txt,100,30,0.2,130.34825145332064,128.77086435631895,1.6807227314105422,100,200
Geo,Geo 100 17.txt,100,30,0.3,130.05607286916972,128.32594720987476,1.7216386882107388,100,200
Geo,Geo 100 17.txt,100,30,0.4,130.34825145332064,128.79315720976695,1.5635222009528251,100,200
Geo,Geo 100 17.txt,100,30,0.5,130.05607286916972,128.5849838433594,1.7926953456447488,100,200
Geo,Geo 100 17.txt,100,30,0.6,130.05607286916972,128.7264934067627,1.592081235270797,100,200
Geo,Geo 100 17.txt,100,30,0.7,130.05607286916972,128.74744648036815,1.5956402635964937,100,200
Geo,Geo 100 17.txt,100,30,0.8,130.34825145332064,128.42775034702473,1.8266052110817341,100,200
Geo,Geo 100 17.txt,100,30,0.9,130.05607286916972,128.65008398959085,1.6831790067629377,100,200
Geo,Geo 100 18.txt,100,30,0.1,109.42374939085835,107.71067727274846,0.9433278440307119,100,200
Geo,Geo 100 18.txt,100,30,0.2,109.55285459465001,107.7131117673756,0.9324407277014183,100,200
Geo,Geo 100 18.txt,100,30,0.3,109.86908651486671,107.75486404850255,0.9156668873058827,100,200
