dataset,instance,n,m,frac,alpha,time_limit_s,runs,es_size,time_doing_grasp,best_es_of,best_global_of,relative_dev,is_best,avg_of,std_of
Geo,Geo 500 1.txt,500,50,0.1,0.1,15,3,15,0.6,123.29195836579525,123.53096145350389,0.0019347626287082515,0,122.92253844120448,0.3137760810752704
Geo,Geo 500 2.txt,500,50,0.1,0.1,15,3,5,0.6,13.499233864461786,13.499233864461786,0.0,1,13.380494291788404,0.10384440131509563
Geo,Geo 500 2.txt,500,50,0.1,0.1,15,3,10,0.6,13.227665514090724,13.499233864461786,0.020117315774934138,0,13.074533964069857,0.15101002189954515
Geo,Geo 500 2.txt,500,50,0.1,0.1,15,3,15,0.6,13.25926576492832,13.499233864461786,0.017776423606172757,0,13.146877855128963,0.1293571092241664
Geo,Geo 500 3.txt,500,50,0.1,0.1,15,3,5,0.6,163.47945147270997,164.12983375422462,0.0039626085437249855,0,163.03744792869304,0.36584867486374656
Geo,Geo 500 3.txt,500,50,0.1,0.1,15,3,10,0.6,163.315788437231,164.12983375422462,0.004959764464348486,0,162.75544443407827,0.39622304442649875
Geo,Geo 500 3.txt,500,50,0.1,0.1,15,3,15,0.6,164.12983375422462,164.12983375422462,0.0,1,163.64835759694282,0.34480481966165055
Geo,Geo 500 4.txt,500,50,0.1,0.1,15,3,5,0.6,132.5006978700321,132.5006978700321,0.0,1,131.1000432220917,0.9958702251216194
Geo,Geo 500 4.txt,500,50,0.1,0.1,15,3,10,0.6,131.03635966034628,132.5006978700321,0.011051550921808482,0,130.58104593910147,0.3287097604781591
Geo,Geo 500 4.txt,500,50,0.1,0.1,15,3,15,0.6,130.43458157434569,132.5006978700321,0.015593248404721875,0,130.24802443161693,0.13191582070229219
Geo,Geo 500 5.txt,500,50,0.1,0.1,15,3,5,0.6,27.608720175367104,27.608720175367104,0.0,1,27.3187661506128,0.2480614450575056
Geo,Geo 500 5.txt,500,50,0.1,0.1,15,3,10,0.6,27.43569303169326,27.608720175367104,0.006267119322257568,0,27.29095711372454,0.19852519304014846
Geo,Geo 500 5.txt,500,50,0.1,0.1,15,3,15,0.6,27.49952877095216,27.608720175367104,0.003954960741438696,0,27.24355614262825,0.31207723333876786
Geo,Geo 500 6.txt,500,50,0.1,0.1,15,3,5,0.6,27.559932387752127,27.890932733816953,0.011867668579742323,0,27.39228879658407,0.11888306132508648
Geo,Geo 500 6.txt,500,50,0.1,0.1,15,3,10,0.6,27.890932733816953,27.890932733816953,0.0,1,27.53584982956717,0.28104827015266803
Geo,Geo 500 6.txt,500,50,0.1,0.1,15,3,15,0.6,27.59877912318665,27.890932733816953,0.010474859819803608,0,27.21811976139595,0.30507133895330696
Geo,Geo 500 7.txt,500,50,0.1,0.1,15,3,5,0.6,131.0050069049266,131.44015578251253,0.0033106235685382937,0,130.90138773878337,0.09006854606944924
Geo,Geo 500 7.txt,500,50,0.1,0.1,15,3,10,0.6,131.44015578251253,131.44015578251253,0.0,1,130.60727844984237,0.6788754014617994
Geo,Geo 500 7.txt,500,50,0.1,0.1,15,3,15,0.6,130.33163638530158,131.44015578251253,0.008433643361205131,0,130.24988529068284,0.08442507151801856
Geo,Geo 500 8.txt,500,50,0.1,0.1,15,3,5,0.6,112.7545734770382,112.7545734770382,0.0,1,112.69608950266006,0.04196427005933102
Geo,Geo 500 8.txt,500,50,0.1,0.1,15,3,10,0.6,112.7545734770382,112.7545734770382,0.0,1,112.15715060723191,0.4226148758526244
Geo,Geo 500 8.txt,500,50,0.1,0.1,15,3,15,0.6,112.6581171948514,112.7545734770382,0.0008554533906019331,0,112.13107783003198,0.3731850534459734
Geo,Geo 500 9.txt,500,50,0.1,0.1,15,3,5,0.6,168.0979842134831,168.61355772368228,0.0030577227428180962,0,167.83809788746336,0.21654854136477777
Geo,Geo 500 9.txt,500,50,0.1,0.1,15,3,10,0.6,168.61355772368228,168.61355772368228,0.0,1,168.0099557241964,0.4419168546603104
Geo,Geo 500 9.txt,500,50,0.1,0.1,15,3,15,0.6,168.17141887313244,168.61355772368228,0.0026222022506304,0,167.9038412696222,0.2511074917775343
Geo,Geo 500 10.txt,500,50,0.1,0.1,15,3,5,0.6,159.0775555439313,159.0775555439313,0.0,1,158.9674449604198,0.09912366752182077
Geo,Geo 500 10.txt,500,50,0.1,0.1,15,3,10,0.6,158.8372564753103,159.0775555439313,0.0015105780812343275,0,158.33098262376117,0.5254042978536431
Geo,Geo 500 10.txt,500,50,0.1,0.1,15,3,15,0.6,158.8372564753103,159.0775555439313,0.0015105780812343275,0,158.21937274531354,0.6801503834001759
Geo,Geo 500 11.txt,500,150,0.3,0.1,15,3,5,0.6,92.712302098381,92.712302098381,0.0,1,92.11789273919076,0.444825573820013
Geo,Geo 500 11.txt,500,150,0.3,0.1,15,3,10,0.6,92.46416071528223,92.712302098381,0.0026764666336885437,0,92.40866152354658,0.07728730931005613
Geo,Geo 500 11.txt,500,150,0.3,0.1,15,3,15,0.6,92.712302098381,92.712302098381,0.0,1,92.58384822158985,0.10149276966080986
Geo,Geo 500 12.txt,500,150,0.3,0.1,15,3,5,0.6,70.86439181629875,70.86439181629875,0.0,1,70.13719381866575,0.5868337724050668
Geo,Geo 500 12.txt,500,150,0.3,0.1,15,3,10,0.6,70.75371701297152,70.86439181629875,0.0015617830124631524,0,70.3661302941933,0.40296176407222667
Geo,Geo 500 12.txt,500,150,0.3,0.1,15,3,15,0.6,70.11993008925111,70.86439181629875,0.010505441561927158,0,70.02062724293835,0.11651361698227672
Geo,Geo 500 13.txt,500,150,0.3,0.1,15,3,5,0.6,132.88584293692006,133.36108000321184,0.00356353642517245,0,132.61892740175566,0.33463746061388194
Geo,Geo 500 13.txt,500,150,0.3,0.1,15,3,10,0.6,133.09475339338982,133.36108000321184,0.0019970339908435214,0,133.01367580892006,0.08799334524427799
Geo,Geo 500 13.txt,500,150,0.3,0.1,15,3,15,0.6,133.36108000321184,133.36108000321184,0.0,1,132.95773444273138,0.3058616545920392
Geo,Geo 500 14.txt,500,150,0.3,0.1,15,3,5,0.6,110.3743124710925,110.3743124710925,0.0,1,109.7637627987707,0.497829005640292
Geo,Geo 500 14.txt,500,150,0.3,0.1,15,3,10,0.6,110.3743124710925,110.3743124710925,0.0,1,110.009672218952,0.37052112773518914
Geo,Geo 500 14.txt,500,150,0.3,0.1,15,3,15,0.6,110.3743124710925,110.3743124710925,0.0,1,110.04697190881525,0.24020984092556635
Geo,Geo 500 15.txt,500,150,0.3,0.1,15,3,5,0.6,35.283967203972246,35.34802589666051,0.00181222829460231,0,34.731738490360314,0.41219563571023704
Geo,Geo 500 15.txt,500,150,0.3,0.1,15,3,10,0.6,35.125719050129156,35.34802589666051,0.0062890880294493474,0,34.847524826581996,0.21031327673218103
Geo,Geo 500 15.txt,500,150,0.3,0.1,15,3,15,0.6,35.34802589666051,35.34802589666051,0.0,1,35.14280701727094,0.16103832589597644
Geo,Geo 500 16.txt,500,150,0.3,0.1,15,3,5,0.6,131.44682662153517,131.91449176284465,0.003545214290407518,0,131.1857209843145,0.19467453118505104
Geo,Geo 500 16.txt,500,150,0.3,0.1,15,3,10,0.6,131.91449176284465,131.91449176284465,0.0,1,131.39200841366997,0.36945151925848013
Geo,Geo 500 16.txt,500,150,0.3,0.1,15,3,15,0.6,131.26895687720943,131.91449176284465,0.004893585814633275,0,131.2474889347038,0.030360255447745108
Geo,Geo 500 17.txt,500,150,0.3,0.1,15,3,5,0.6,128.3388626143567,128.49216914065005,0.0011931196065771332,0,128.25887715362413,0.11311652336068509
Geo,Geo 500 17.txt,500,150,0.3,0.1,15,3,10,0.6,128.2312222021298,128.49216914065005,0.0020308392353047687,0,127.87979585853903,0.30382269949086105
Geo,Geo 500 17.txt,500,150,0.3,0.1,15,3,15,0.6,128.49216914065005,128.49216914065005,0.0,1,128.35408465237887,0.10707352306377531
Geo,Geo 500 18.txt,500,150,0.3,0.1,15,3,5,0.6,71.57448588095802,71.57448588095802,0.0,1,70.97453020685336,0.62038180987959
Geo,Geo 500 18.txt,500,150,0.3,0.1,15,3,10,0.6,71.57448588095802,71.57448588095802,0.0,1,71.2308948444818,0.4165563959868784
Geo,Geo 500 18.txt,500,150,0.3,0.1,15,3,15,0.6,71.41460015987548,71.57448588095802,0.0022338368081115676,0,71.11031867435265,0.4303190036053934
Geo,Geo 500 19.txt,500,150,0.3,0.1,15,3,5,0.6,123.37828468196506,123.37828468196506,0.0,1,123.0918441768917,0.2510208486267885
Geo,Geo 500 19.txt,500,150,0.3,0.1,15,3,10,0.6,123.35343095504953,123.37828468196506,0.00020144328460708924,0,123.28421523673153,0.07041860618778405
Geo,Geo 500 19.txt,500,150,0.3,0.1,15,3,15,0.6,123.37828468196506,123.37828468196506,0.0,1,123.25116078910878,0.08989016668950432
Geo,Geo 500 20.txt,500,150,0.3,0.1,15,3,5,0.6,122.4206062657297,122.7822216570845,0.002945177131301225,0,122.19251905385268,0.16128212227252126
Geo,Geo 500 20.txt,500,150,0.3,0.1,15,3,10,0.6,122.23816848326486,122.7822216570845,0.004431041941390516,0,121.88602294517564,0.27857186013915775
Geo,Geo 500 20.txt,500,150,0.3,0.1,15,3,15,0.6,122.7822216570845,122.7822216570845,0.0,1,122.31320995081428,0.3316413579595444
Ran,Ran 100 1.txt,100,10,0.1,0.1,15,3,5,0.6,73.0,73.0,0.0,1,73.0,0.0
